Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,World,WLD,28.2735718596606
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Afghanistan,AFG,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Albania,ALB,31.3042698874727
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Algeria,DZA,20.407941949491
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,American Samoa,ASM,61.6692426584235
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Andorra,AND,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Angola,AGO,40.7907550532833
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Antigua and Barbuda,ATG,69.2086423595831
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Argentina,ARG,17.9248783778462
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Armenia,ARM,41.3508013620849
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Aruba,ABW,73.2345915426225
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Australia,AUS,24.1117883614814
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Austria,AUT,55.7607848112938
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Azerbaijan,AZE,49.0506275016423
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Bahamas, The",BHS,35.5641431446966
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bahrain,BHR,76.485960757711
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bangladesh,BGD,13.0947573353039
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Barbados,BRB,41.7775316710853
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belarus,BLR,65.0944096428465
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belgium,BEL,82.3971820616943
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belize,BLZ,51.8967694718585
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Benin,BEN,29.6305271935478
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bermuda,BMU,51.7434243981752
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bhutan,BTN,31.4575059018919
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bolivia,BOL,24.9672622840166
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bosnia and Herzegovina,BIH,40.0400711149533
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Botswana,BWA,37.0878176552067
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,14.1229191903622
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,British Virgin Islands,VGB,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brunei Darussalam,BRN,57.946040538108
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bulgaria,BGR,63.9454784589651
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Burkina Faso,BFA,29.2576956603939
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Burundi,BDI,5.17203999926172
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cabo Verde,CPV,46.7050331370949
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cambodia,KHM,61.0912965254955
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cameroon,CMR,19.8500907473186
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Canada,CAN,32.3526958202565
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cayman Islands,CYM,69.4710256634634
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Central African Republic,CAF,15.7553800018083
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Chad,TCD,36.7422534363826
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Channel Islands,CHI,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Chile,CHL,27.8746677570512
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,18.4099923155274
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Colombia,COL,15.8680386541241
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Comoros,COM,12.7734606325226
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Congo, Dem. Rep.",COD,25.8676651009614
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Congo, Rep.",COG,56.1988161669292
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Costa Rica,CRI,34.3253215588929
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cote d'Ivoire,CIV,22.6604887650452
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Croatia,HRV,50.1631450658156
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cuba,CUB,12.2133743797594
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Curacao,CUW,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cyprus,CYP,76.4877486300826
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Czechia,CZE,73.8797803262645
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Denmark,DNK,58.6471822154845
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Djibouti,DJI,166.717746372109
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Dominica,DMA,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Dominican Republic,DOM,23.0692820412923
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ecuador,ECU,24.0486348220803
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Egypt, Arab Rep.",EGY,16.6440314510365
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,El Salvador,SLV,29.9559096080003
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Equatorial Guinea,GNQ,51.1307495482003
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Eritrea,ERI,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Estonia,EST,73.3595544405733
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Eswatini,SWZ,45.6478964535104
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ethiopia,ETH,7.9399766087609
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Faroe Islands,FRO,55.7697162765718
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Fiji,FJI,48.4609021522354
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Finland,FIN,39.8806794019795
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,France,FRA,31.5920554143668
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,French Polynesia,PYF,20.5923590296429
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Gabon,GAB,51.4310732271996
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Gambia, The",GMB,18.8413979684695
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Georgia,GEO,54.3043084100873
